"","Company_Name","Amount_Dollars","Sector","Country","Region","Company_Address","Company_Website","Company_EIN","Description","Fund_Name","Fund_EIN","Date"
"33","Mobilesson Ltd.",159359,"Software & Tech","Israel","Middle East","111 Arlozorov Tel Aviv - Jaffa, Israel 6209809","connecteam.com","N/A","Produces HR software under the alias ConnectTeam","Stripes V(A) Offshore AIV, LP","98-1576367","12/22/2021"
"34","Bitpanda GmbH",453693,"Cryptocurrency & Stock","Austria","Europe","Stella-Klein-Low Weg 17 1020 Vienna, Austria","bitpanda.comen","N/A","Cryptocurrency and stock trading app marketed to beginners","Valar Fund VII LP","86-2223256","10/14/2021"
"35","Majority AB",152726,"Banking","Sweden","Europe","Jakobsbergsgatan 16 Stockholm, Sweden, 111 44","majority.com","N/A","Mobile banking for non-citizens residing in the U.S.","Valar Fund VII LP","86-2223256","Various"
"36","Buku Pte. Ltd.",214945,"NA","Singapore","Asia","2 Marina Boulevard #19-10 Singapore 018987",NA,"N/A","[No verifiable details]","Buku Pte. Ltd.","86-2223256","5/27/2021"
"37","Anomaly Capital International Ltd",4e+06,"NA","Cayman Islands","South America","Walkers Corporate Limited, 190 Elgin Avenue George Town, Grand Cayman KY1-9008, Cayman Islands",NA,"98-1549313","[No verifiable details]","Anomaly Capital","98-1549313","6/1/2022"
"38","ARCM Feeder Fund IV Ltd.",8e+05,"NA","Cayman Islands","South America","27 Hospital Road George Town, Grand Cayman KY1-9008, Cayman Islands",NA,"N/A","[No verifiable details]","ARCM Feeder Fund IV Ltd.","N/A","9/1/2021"
"39","CoreView Offshore Fund Ltd",5500000,"NA","Cayman Islands","South America","Walkers Corporate Limited, 190 Elgin Avenue George Town, Grand Cayman KY1-9008, Cayman Islands",NA,"N/A","[No verifiable details]","CoreView Offshore","N/A","9/1/2021, 2/1/2022 & 4/1/2022"
"40","Kora Offshore Fund Ltd",1e+07,"NA","Cayman Islands","South America","PO Box 309, Ugland House, South Church Street George Town, Grand Cayman KY1-1104, Cayman Islands",NA,"98-1146963","[No verifiable details]","Kora Offshore","N/A","2/1/2021, 4/1/2022 & 5/1/2022"
"41","Soleus Capital Offshore, Ltd.",1.5e+07,"NA","Cayman Islands","South America","104 Field Point Road, 2nd Floor Cayman Islands","soleuscapital.com","N/A","[No verifiable details]","Soleus Capital Offshore, Ltd.","N/A","5/1/2022"
"42","Neo Financial Technologies Inc.",349483,"Banking","Canada","North America","200-632 Cenfluence Way SE Calgary, AB Canada T2G 0G1","neofinancial.com","N/A","Mobile-first alternative bank","Valar Fund VI LP","84-4735286","2/22/2021"
"43","Nufin GmbH",211775,"Software & Tech","Germany","Europe","Ziegelstr. 16 10117, Berlin, Germany","getmoss.com","N/A","Company accounting software","Valar Fund VI LP","84-4735286","2/1/2021"
"44","Lion TopCo Limited",204312,"NA","United Kingdom","Europe","10 Bressenden Place London, UK SW1E 5DH",NA,"N/A","[No verifiable details]","Marlin Equity V, LP","98-1347330","9/23/2021"
"45","Blue Phoenix Holding B.V.",413016,"NA","Netherlands","Europe","Petroleumweg 32D 3196 KD Rotterdam, Netherlands",NA,"N/A","[No verifiable details]","WPEF VI Feeder LP","98-0706142","Various"
"46","Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)",117696,"Other","Denmark","Europe","Uggerhalnevej 80 9310 Vodskov, Denmark","globalequestriangroup.com","N/A","""Dressage, show jumping, and equestrian events""","WPEF VII Feeder LP","98-1378508","Various"
